topic,category,error
Peace-Athabasca delta water levels and ecological impact,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Peace River-Athabasca delta water management,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
cigarette advertising regulation and anti-smoking literature,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
potato price support for P.E.I. and N.B,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
chartered bank directors,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
availability of Bill C-176 copies,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
parliamentary procedure and bank criticism,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Government Organization Act administration,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
government weather control regulation,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
CRTC policy on Canadian content and broadcasting,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Weights and Measures Act amendments on fuel delivery and odometers,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
burden of proof in clause 27,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
housing policy and chamber remodeling,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
South Africa arms sales and Commonwealth committee,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
R&D funding for science graduates,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
government contracts and R&D provisions,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
support to industry research and development,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
northern pipeline corridor concept,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Atlantic Development Council report,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
tabling of advisory council report,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
1971 census questions,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
transferability of market quota,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
ministerial inquiry,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
voting rights for Canadians abroad,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Textile and Clothing Board Act consumer representation,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
correction to Wheat Board report,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
tabling of government organization act report,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
appeal of Speaker's ruling,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
ministerial attendance and election,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Ministerial attendance and report tabling,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
the role and independence of the Speaker,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
guaranteed income supplement for senior citizens,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Telecommission report on telecommunications,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
telecommunications policy and computer industry,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Canadair subcontractors' financial situation,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Prime Minister's use of government aircraft,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
guaranteed annual income studies,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
day-care centres and Canada Assistance Plan,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Skagit Valley flooding agreement interpretation,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Canadian ownership of Home Oil,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Metis and non-status Indians welfare,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
North Atlantic Fisheries Convention Act,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
amendment to public service employment bill,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
consolidation of federal legislation,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
Standing Order 43 debate,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
government vehicle and fuel emission criteria,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
trade statistics by province and country,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
report of citizens' committee on inmates,,"ParseError: expected 50 labels, got 47: [
""Agriculture & Natural Resources"",
""Intergovernmental & Constitutional Affairs"",
""Agriculture & Natural Resources"",
""Agriculture & Natural Resources"",
""Trade & Industry"",
""Agriculture & Natural Reso"
prisoners' requests,"Justice, Rights & Immigration",
committee appearance on correctional services,Parliamentary Affairs,
inmate complaints and minister's actions,"Justice, Rights & Immigration",
sentencing and prison population,"Justice, Rights & Immigration",
interprovincial trade in farm products,Trade & Industry,
specific case investigation,"Justice, Rights & Immigration",
newspaper report on government plan,Government Operations & Ethics,
Winnipeg Grain Exchange futures market,Trade & Industry,
avoiding fruitless quarrels,Parliamentary Affairs,
unemployment insurance benefit period,Social Policy,
guaranteed minimum income and unemployment,Social Policy,
unemployment insurance and full employment policies,Social Policy,
unemployment insurance waiting period and earnings definition,Social Policy,
MP pensions and unemployment insurance,Social Policy,
amendments to the Unemployment Insurance Act,Social Policy,
environmental studies on oil transportation,Agriculture & Natural Resources,
summer projects funding,Government Operations & Ethics,
teachers' unemployment insurance contributions,Social Policy,
Solicitor General appearance on surveillance,Government Operations & Ethics,
Cape Breton Development Corporation control and indemnification,Government Operations & Ethics,
Cape Breton Development Corporation operations,Government Operations & Ethics,
Canada-US pollution concerns,Foreign Affairs & Defence,
administration of educational courses,Social Policy,
railway rolling stock for grain movement,Agriculture & Natural Resources,
unemployment insurance inclusion of municipal employees,Social Policy,
unemployment insurance eligibility and benefits,Social Policy,
teachers and unemployment insurance,Social Policy,
unemployment insurance act administration and funding,Social Policy,
honour of membership in the Privy Council,Parliamentary Affairs,
point of order regarding House of Commons activity,Parliamentary Affairs,
assistance for hog producers,Agriculture & Natural Resources,
rapeseed marketing plebiscite,Agriculture & Natural Resources,
tabling of telegrams on rapeseed industry,Agriculture & Natural Resources,
Yukon ecological protection regulations,Agriculture & Natural Resources,
control of Home Oil Company Limited,Trade & Industry,
Armenian genocide commemoration,Foreign Affairs & Defence,
consultation on proposed bill changes,Parliamentary Affairs,
Yukon mineral claims and bureaucratic decisions,Indigenous & Northern Affairs,
Yukon mining development and committee study,Indigenous & Northern Affairs,
salaries and allowances for public officials,Government Operations & Ethics,
Prices and Incomes Commission guidelines for 1970,Economic & Fiscal Policy,
assurance on Turner act expiry date,Parliamentary Affairs,
Opportunities for Youth program deadline,Government Operations & Ethics,
intervention in interprovincial trade litigation,Trade & Industry,
Eskimo and Indian jury appointments,Indigenous & Northern Affairs,
curbing foreign borrowing and interest rates,Economic & Fiscal Policy,
Yukon land use regulations and mining development,Indigenous & Northern Affairs,
unemployment insurance and minimum wage,Social Policy,
maternity leave eligibility requirements,Social Policy,
civil service pay disparity in family allowance branch,Government Operations & Ethics,
Coqualeetza Hospital conversion,Social Policy,
Canada-Germany trade and technology agreement,Trade & Industry,
visit to Inuvik test facilities,Agriculture & Natural Resources,
parliamentary system responsibilities,Parliamentary Affairs,
National Film Board film censorship,Government Operations & Ethics,
inquiry into Kingston penitentiary disturbances,"Justice, Rights & Immigration",
US duty on Canadian forged auto parts,Trade & Industry,
federal-provincial budget consultation,Economic & Fiscal Policy,
federal-provincial communications and broadcasting,Government Operations & Ethics,
minimum wage and maternity leave,Social Policy,
labour-management disputes and work stoppages,Social Policy,
clarity of labour legislation and provincial uniformity,Social Policy,
closing debate,Parliamentary Affairs,
Canadian economic independence from US investment,Trade & Industry,
Fisheries Improvement Loans Act loans,Agriculture & Natural Resources,
tabling of answers to questions,Parliamentary Affairs,
income security white paper revisions,Social Policy,
provincial-federal government relations,Intergovernmental & Constitutional Affairs,
full employment projection,Economic & Fiscal Policy,
Quebec premier's request for legislation extension,Intergovernmental & Constitutional Affairs,
consultation on city of Edmonton issue,Intergovernmental & Constitutional Affairs,
small harbours administration on Pacific coast,Agriculture & Natural Resources,
staff training for bill implementation,Parliamentary Affairs,
National Film Board movie distribution,Government Operations & Ethics,
agricultural marketing agency powers,Agriculture & Natural Resources,
War Measures Act and Public Order Act inquiry,"Justice, Rights & Immigration",
inflation and price controls,Economic & Fiscal Policy,
agricultural assistance program changes,Agriculture & Natural Resources,
official languages teaching incentive policy,Social Policy,
Canadian oil development and tax incentives,Economic & Fiscal Policy,
member travel and expense privileges,Parliamentary Affairs,
committee study of national resources,Agriculture & Natural Resources,
Canadian National investment and development,Trade & Industry,
parliamentary schedule,Parliamentary Affairs,
mail transportation delays,Government Operations & Ethics,
tri-level consultation on government matters,Intergovernmental & Constitutional Affairs,
parliamentary salaries and expense allowances,Parliamentary Affairs,
Canada Labour (Standards) Code amendments,Social Policy,
salaries of members of parliament,Parliamentary Affairs,
Combines Investigation Act and sugar industry,Trade & Industry,
Crown Corporation internal management information,Government Operations & Ethics,
use of foreign currency reserves,Economic & Fiscal Policy,
environmental pollution committee terms of reference,Agriculture & Natural Resources,
Le Dain Commission final report inquiry,"Justice, Rights & Immigration",
Opportunities for Youth program funding,Social Policy,
parliamentary study of free expression in Quebec,Parliamentary Affairs,
judicial council and firing judges,"Justice, Rights & Immigration",
Members of Parliament pay increase,Parliamentary Affairs,
provincial recognition of certificates,"Justice, Rights & Immigration",
national conference on uniform education standards,Intergovernmental & Constitutional Affairs,
MP salaries and constituency differences,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Senate and House of Commons Act,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
bill support contingent on committee decision,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Treasury Board approval of bargaining,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
report on discussions,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Canada-US oil spill risk consultations,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Trans-Alaska Pipeline System,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Ste. Scholastique and Toronto construction progress,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
satellite cities housing and transport,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
urban growth and transportation facilities,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Quebec vs Toronto airport development,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Air Canada and EPA route negotiations,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
conservation of marine resources,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
housing and urban policy reports,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
cash advances for farmers,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
packaging and labelling of hazardous products,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
amendments to the Food and Drugs Act for consumer protection,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
consumer product safety legislation,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
cash advances on crops and interest rates,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Operation Lift impact on small farmers,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
minister's public relations,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
advances to the office space fund,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
federal assistance for Quebec provincial and municipal governments,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
appointment of Regional Director of Indian Affairs,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
construction costs and staffing for research,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
availability of information for parliamentary questions,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
co-ordination of economic departments,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
James Bay development ecological problems,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
CBC spending and reporting,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
project grant agreements,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
satellite city in northern Canada,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
CRTC hearing on VHF television,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
proclamation of districts from report,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Lapalme boys labour dispute,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
offshore mineral rights negotiations,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
estate and gift tax section offices,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
debate on bill subject matter,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
Prairie Grain Advance Payments Act cash advances,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
contraceptives and family planning policy,,"ParseError: expected 50 labels, got 49: [
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Parliamentary Affairs"",
""Government Operations & Ethics"",
""Government Operations & Ethics"",
""Foreign Affairs & Defence"",
""Foreign Affairs & Defence"
