topic,category
construction costs for the peace tower,Public Finance and Taxation
urban electoral representation in federal redistribution,Government and Parliamentary Affairs
reduction of parliamentary and senate representation,Government and Parliamentary Affairs
rural representation in federal constituencies,Government and Parliamentary Affairs
government office building rental expenditures,Public Finance and Taxation
redistribution of federal constituencies based on population,Government and Parliamentary Affairs
federal electoral redistribution and constituency representation,Government and Parliamentary Affairs
representation of urban and rural interests,Government and Parliamentary Affairs
reduction of federal taxation and government expenditure,Public Finance and Taxation
tariff stability policy,International Trade and Tariffs
importation of Chinese labour for Canadian vessels,Social Welfare and Labour
economic conditions in Nova Scotia,Natural Resources and Intergovernmental Relations
1924 federal budget debate,Public Finance and Taxation
ocean freight rates for apple exports,Transportation and Communications
federal infrastructure funding for Quebec,Natural Resources and Intergovernmental Relations
validity of the 1923-24 government budget surplus,Public Finance and Taxation
curtailment of Canadian National Railway service,Transportation and Communications
government bond financing and trade policy,Public Finance and Taxation
reduction of tariffs on necessaries of life,International Trade and Tariffs
memorial for parliament fire victims,Government and Parliamentary Affairs
railway branch line resolutions,Transportation and Communications
construction of railway lines in Alberta,Transportation and Communications
co-operative marketing in the fruit industry,Agriculture and Food Policy
protective tariff policy for agriculture and industry,International Trade and Tariffs
protectionist trade policy and agricultural tariffs,International Trade and Tariffs
reduction of agricultural implement tariffs,International Trade and Tariffs
memorial for Bowman Brown Law,Government and Parliamentary Affairs
commemoration of Bowman Brown Law,Government and Parliamentary Affairs
Canadian National Railways management and administration,Transportation and Communications
parliamentary procedure regarding budget amendment admissibility,Government and Parliamentary Affairs
procedural challenge to a private member's amendment,Government and Parliamentary Affairs
parliamentary procedure for withdrawing motions,Government and Parliamentary Affairs
railway freight rates for apple exports,Transportation and Communications
proposed tariff reductions and industrial protectionism,International Trade and Tariffs
Rosedale to Bullpound Creek railway line construction,Transportation and Communications
Canadian National Railways grain freight rates,Transportation and Communications
Rosedale-Bullpound Creek railway line construction,Transportation and Communications
1924 federal budget proposals on agricultural costs,Public Finance and Taxation
Canadian National Railways operational efficiency and grain freight rates,Transportation and Communications
grain transportation freight rates,Transportation and Communications
Peace river railway construction,Transportation and Communications
Peace River country railway construction,Transportation and Communications
railway grain transportation costs,Transportation and Communications
proposed railway branch line in Kent County,Transportation and Communications
Canadian National Railway China Clay branch extension,Transportation and Communications
western branch line legislation,Transportation and Communications
Kent Northern railway branch line negotiations,Transportation and Communications
railway development in Kent county,Transportation and Communications
tariffs on imported fruits and vegetables,International Trade and Tariffs
Canadian Northern Quebec Railway China Clay branch extension,Transportation and Communications
proposed railway construction in Kent County,Transportation and Communications
promotion of mixed farming and fruit exports,Agriculture and Food Policy
fruit and vegetable dehydration experiments,Agriculture and Food Policy
construction of the Pine Falls railway branch,Transportation and Communications
economic challenges for British Columbia fruit farmers,Agriculture and Food Policy
cold storage plant subsidies,Agriculture and Food Policy
political election campaign promises regarding railways,Government and Parliamentary Affairs
cold storage facility subsidies,Agriculture and Food Policy
cold storage subsidies,Agriculture and Food Policy
acquisition of Canada's building in London,Government and Parliamentary Affairs
reduction of house of commons representation,Government and Parliamentary Affairs
electoral boundary redistribution by population,Government and Parliamentary Affairs
consolidation of Canadian government offices in London,Government and Parliamentary Affairs
redistribution based on representation by population,Government and Parliamentary Affairs
purchase of federal office site,Government and Parliamentary Affairs
Canadian National Railways interest rates,Transportation and Communications
purchase of the British Columbia building,Government and Parliamentary Affairs
government building construction contract transparency,Government and Parliamentary Affairs
proposed canadian office expenditures in London,Government and Parliamentary Affairs
contractual obligations of the Canadian government,Government and Parliamentary Affairs
purchase of Canadian government offices in London,Government and Parliamentary Affairs
government office building acquisition,Government and Parliamentary Affairs
purchase of High Commissioner's office in London,Government and Parliamentary Affairs
purchase of Canadian High Commissioner building in London,Government and Parliamentary Affairs
purchase of government buildings in London,Government and Parliamentary Affairs
unauthorized government expenditures for public contracts,Public Finance and Taxation
construction of a centralized federal office building,Government and Parliamentary Affairs
purchase of government building in London,Government and Parliamentary Affairs
purchase of the Union Club building,Government and Parliamentary Affairs
purchase of Canadian government property in London,Government and Parliamentary Affairs
federal office building construction costs,Government and Parliamentary Affairs
Yukon railway contract damages,Transportation and Communications
capital expenditure for Canada House in London,Government and Parliamentary Affairs
purchase of property for the High Commissioner,Government and Parliamentary Affairs
centralization of Canadian government offices in London,Government and Parliamentary Affairs
purchase of a government building,Government and Parliamentary Affairs
purchase of Canadian government building in London,Government and Parliamentary Affairs
purchase of government office property,Government and Parliamentary Affairs
unauthorized government expenditure,Public Finance and Taxation
government expenditures for British Columbia public buildings,Public Finance and Taxation
acquisition of a government building in London,Government and Parliamentary Affairs
unauthorized government expenditure on public works,Public Finance and Taxation
government property acquisition expenditure,Public Finance and Taxation
government contracting authority for Larkin agreement,Government and Parliamentary Affairs
expansion of Dominion Archives facilities,Government and Parliamentary Affairs
construction of Canadian building in London,Government and Parliamentary Affairs
departmental expenditures on agricultural publications,Agriculture and Food Policy
Canadian National Railways Toronto building rentals,Transportation and Communications
estimated cost of Port Nelson harbour works,Transportation and Communications
Easter adjournment schedule,Government and Parliamentary Affairs
investigation of grain freight rate discrimination,Transportation and Communications
parliamentary daily adjournment hours,Government and Parliamentary Affairs
purchase of a dominion building in London,Government and Parliamentary Affairs
Chicago Drainage Canal water diversion,Natural Resources and Intergovernmental Relations
accredited herd tuberculosis testing,Agriculture and Food Policy
government policy on pension bonuses,Social Welfare and Labour
Chicago Drainage Canal water diversion impacts,Natural Resources and Intergovernmental Relations
Quebec Harbour Commission financial records,Transportation and Communications
impact of Chicago water diversion on Great Lakes levels,Natural Resources and Intergovernmental Relations
canadian economic prosperity and production statistics,Public Finance and Taxation
transportation costs for coal and grain,Transportation and Communications
labour dispute involving Montreal taxi drivers,Social Welfare and Labour
reduction of the federal public service,Government and Parliamentary Affairs
Home Bank failure and depositor protection legislation,Banking and Monetary Policy
Quebec immigration building restaurant contract complaints,"Justice, Constitution, and Indigenous Affairs"
sales tax exemptions for specific commodities,Public Finance and Taxation
national fuel policy for domestic coal distribution,Natural Resources and Intergovernmental Relations
employment record of W. T. R. Preston,Government and Parliamentary Affairs
Alberta coal distribution and promotion,Natural Resources and Intergovernmental Relations
Manitoba liquor manufacturing licenses,Natural Resources and Intergovernmental Relations
transportation and distribution of Canadian coal,Transportation and Communications
parliamentary questions on government administration and policy,Government and Parliamentary Affairs
Alberta coal industry and tariff policy,International Trade and Tariffs
testing of coal processing methods,Natural Resources and Intergovernmental Relations
national fuel policy for Alberta coal,Natural Resources and Intergovernmental Relations
establishment of domestic coking plants,Natural Resources and Intergovernmental Relations
national fuel policy and Canadian coal supply,Natural Resources and Intergovernmental Relations
transportation of Canadian coal by rail,Transportation and Communications
federal war debt and taxation policy,Public Finance and Taxation
national coal import tariff policy,International Trade and Tariffs
national fuel policy and coal distribution,Natural Resources and Intergovernmental Relations
national coal supply policy,Natural Resources and Intergovernmental Relations
scheduling of Monday sittings,Government and Parliamentary Affairs
Alberta coal mining wages and transportation costs,Social Welfare and Labour
Alberta coal transportation and pricing policy,Transportation and Communications
tariffs on imported coal,International Trade and Tariffs
national tariff policy and industrial protectionism,International Trade and Tariffs
investigation of a national coal supply policy,Natural Resources and Intergovernmental Relations
chilled meat exports to the United Kingdom,Agriculture and Food Policy
tariffs on sub-bituminous coal exports,International Trade and Tariffs
regulation of coal prices and profiteering,Natural Resources and Intergovernmental Relations
tariffs on imported coal and national fuel policy,International Trade and Tariffs
transportation cost rates for Canadian coal,Transportation and Communications
national fuel policy for Canadian coal,Natural Resources and Intergovernmental Relations
national coal transportation policy,Transportation and Communications
export duty on pulpwood,International Trade and Tariffs
Home Bank failure investigation powers,Banking and Monetary Policy
national coal policy and protective tariffs,International Trade and Tariffs
monetary and financial system reform,Banking and Monetary Policy
national fuel policy and coal imports,Natural Resources and Intergovernmental Relations
commercial feasibility of lignite briquetting at Bienfait,Natural Resources and Intergovernmental Relations
proposed restriction on pulpwood exports,International Trade and Tariffs
national coal transportation rates,Transportation and Communications
national coal supply and import policy,Natural Resources and Intergovernmental Relations
national fuel policy for coal supply,Natural Resources and Intergovernmental Relations
national fuel policy and peat fuel development,Natural Resources and Intergovernmental Relations
Canadian emigration and immigration statistics,"Justice, Constitution, and Indigenous Affairs"
tariff reduction on farm implements and necessities,International Trade and Tariffs
subsidized transportation of Alberta coal to Ontario,Transportation and Communications
Chicago Sanitary District water diversion,Natural Resources and Intergovernmental Relations
correction of parliamentary record regarding ministerial tenure,Government and Parliamentary Affairs
Royal Grain Inquiry Commission expenditures and staffing,Public Finance and Taxation
parliamentary procedure for private member resolutions,Government and Parliamentary Affairs
constitutional amendment powers of the federal government,"Justice, Constitution, and Indigenous Affairs"
constitutional amendment requirements for provinces,"Justice, Constitution, and Indigenous Affairs"
constitutional status of Canada,"Justice, Constitution, and Indigenous Affairs"
abolition of appeals to the Privy Council,"Justice, Constitution, and Indigenous Affairs"
constitutional amendment and division of powers,"Justice, Constitution, and Indigenous Affairs"
provincial autonomy and constitutional authority,"Justice, Constitution, and Indigenous Affairs"
distribution of federal and provincial powers,"Justice, Constitution, and Indigenous Affairs"
redistribution of federal and provincial powers,"Justice, Constitution, and Indigenous Affairs"
constitutional interpretation and canadian foreign policy,"Justice, Constitution, and Indigenous Affairs"
Canadian constitutional autonomy,"Justice, Constitution, and Indigenous Affairs"
Canada's parliamentary autonomy and foreign policy,"Justice, Constitution, and Indigenous Affairs"
constitutional amendment and provincial consent requirements,"Justice, Constitution, and Indigenous Affairs"
constitutional reform and Senate reform,"Justice, Constitution, and Indigenous Affairs"
parliamentary authority over imperial policy,Government and Parliamentary Affairs
canadian constitutional amendment powers,"Justice, Constitution, and Indigenous Affairs"
Prince Edward Island provincial representation rights,Government and Parliamentary Affairs
parliamentary consent for naval defence policy,Veterans' and Military Affairs
distribution of powers under the British North America Act,"Justice, Constitution, and Indigenous Affairs"
federal authority to legislate labour standards,Social Welfare and Labour
Canadian constitutional autonomy and jurisdictional powers,"Justice, Constitution, and Indigenous Affairs"
constitutional amendment and provincial consent,"Justice, Constitution, and Indigenous Affairs"
amendment process for the British North America Act,"Justice, Constitution, and Indigenous Affairs"
constitutional amendment of the British North America Act,"Justice, Constitution, and Indigenous Affairs"
appeals to the Judicial Committee of the Privy Council,"Justice, Constitution, and Indigenous Affairs"
Canada-United States liquor smuggling treaty,International Trade and Tariffs
canada's colonial constitutional status,"Justice, Constitution, and Indigenous Affairs"
division of federal and provincial legislative powers,"Justice, Constitution, and Indigenous Affairs"
Imperial Conference treaty negotiation procedures,Government and Parliamentary Affairs
channels of communication with the British Crown,Government and Parliamentary Affairs
acquisition of Canada House in London,Government and Parliamentary Affairs
division of powers under British North America Act,"Justice, Constitution, and Indigenous Affairs"
Canada's national status and independence,"Justice, Constitution, and Indigenous Affairs"
parliamentary building construction and government expenditure,Public Finance and Taxation
authority to sign bilateral treaties,"Justice, Constitution, and Indigenous Affairs"
parliamentary legislative jurisdiction under the BNA Act,"Justice, Constitution, and Indigenous Affairs"
procedures for negotiating and ratifying imperial treaties,Government and Parliamentary Affairs
construction costs of the Peace Tower,Public Finance and Taxation
territorial waters and liquor smuggling enforcement,"Justice, Constitution, and Indigenous Affairs"
liquor transit through Alaska to Yukon,"Justice, Constitution, and Indigenous Affairs"
Canadian national independence and sovereignty,"Justice, Constitution, and Indigenous Affairs"
constitutional responsibility for dominion government advice,Government and Parliamentary Affairs
economic feasibility of St. Lawrence Waterway project,Transportation and Communications
parliamentary procedure regarding question period returns,Government and Parliamentary Affairs
liquor transit rights on British vessels,"Justice, Constitution, and Indigenous Affairs"
Canadian foreign policy and constitutional authority,"Justice, Constitution, and Indigenous Affairs"
northern Pacific halibut fishery protection act amendments,Natural Resources and Intergovernmental Relations
St. Lawrence deep waterways project committee appointments,Transportation and Communications
duplication of federal agricultural experimental farms,Agriculture and Food Policy
agricultural department budget estimates,Public Finance and Taxation
experimental farm livestock breeding policies,Agriculture and Food Policy
agricultural sub-station funding,Agriculture and Food Policy
computation of prison sentences for appellants,"Justice, Constitution, and Indigenous Affairs"
relocation of the Rosthern experimental farm,Agriculture and Food Policy
chilled beef export experiment,Agriculture and Food Policy
free importation of grade dairy cows,International Trade and Tariffs
government expenditure on experimental farms,Public Finance and Taxation
management of dominion experimental farms,Agriculture and Food Policy
establishment of a domestic hemp industry,Agriculture and Food Policy
Canadian meat export shipments,Agriculture and Food Policy
management and marketing of experimental farms,Agriculture and Food Policy
export of chilled beef to Britain,Agriculture and Food Policy
federal and provincial agricultural illustration stations,Agriculture and Food Policy
experimental farm research and livestock policies,Agriculture and Food Policy
importation of dairy cattle from Wisconsin,International Trade and Tariffs
government distribution of pure-bred livestock,Agriculture and Food Policy
Canadian beef exports and experimental farm operations,Agriculture and Food Policy
agricultural crop rotation research,Agriculture and Food Policy
cattle shipment experiments at experimental farms,Agriculture and Food Policy
expenditure of experimental farms appropriations,Public Finance and Taxation
experimental farm livestock breeding operations,Agriculture and Food Policy
cattle export financial losses,Agriculture and Food Policy
federal and provincial agricultural experimental farms division,Agriculture and Food Policy
maintenance of northern agricultural experimental sub-stations,Agriculture and Food Policy
wheat rust research collaboration,Agriculture and Food Policy
experimental farm cattle feeding and location,Agriculture and Food Policy
canadian chilled meat exports to the uk,Agriculture and Food Policy
funding for government experimental farms,Public Finance and Taxation
agricultural experimental sub-stations,Agriculture and Food Policy
poultry industry development,Agriculture and Food Policy
federal grants for agricultural education,Agriculture and Food Policy
discontinuation of federal agricultural education grants,Agriculture and Food Policy
agricultural experimental farms operations,Agriculture and Food Policy
operation of agricultural experimental farms,Agriculture and Food Policy
grading of bacon for export,Agriculture and Food Policy
agricultural experimental farm operations and livestock marketing,Agriculture and Food Policy
grading and marketing of farm products,Agriculture and Food Policy
experimental farm operations in Saskatchewan,Agriculture and Food Policy
illness of William Stevens Fielding,Government and Parliamentary Affairs
restructuring of agricultural experimental farms,Agriculture and Food Policy
economic distress of Alberta farmers,Agriculture and Food Policy
Canadian meat packing industry statistics,Agriculture and Food Policy
Indian Head experimental farm operations,Agriculture and Food Policy
expansion of agricultural market access,International Trade and Tariffs
chilled and frozen meat export facilities,Agriculture and Food Policy
wholesale agricultural commodity prices,Agriculture and Food Policy
experimental agricultural station funding,Public Finance and Taxation
civil service retirement fund and income taxation,Public Finance and Taxation
national defence expenditure comparisons,Veterans' and Military Affairs
retraction regarding Boyd Caldwell Company operations,Government and Parliamentary Affairs
diversion of St. John river waters,Natural Resources and Intergovernmental Relations
Home Bank failure and depositor reimbursement,Banking and Monetary Policy
acquisition of Canadian government buildings in London,Government and Parliamentary Affairs
civil service retirement fund and income tax,Public Finance and Taxation
Easter adjournment scheduling,Government and Parliamentary Affairs
reimbursement of Home Bank depositors,Banking and Monetary Policy
reimbursement for Home Bank depositors,Banking and Monetary Policy
Home Bank depositors' compensation,Banking and Monetary Policy
Manitoba brewery licensing and operations,Government and Parliamentary Affairs
Home Bank documents investigation,Banking and Monetary Policy
parliamentary investigation into the Home Bank failure,Banking and Monetary Policy
Home Bank depositors relief and banking reform,Banking and Monetary Policy
department of soldiers' civil re-establishment staffing and remuneration,Veterans' and Military Affairs
costs of government royal commissions,Public Finance and Taxation
postal district operating costs,Transportation and Communications
Home Bank depositors' petition investigation,Banking and Monetary Policy
Home Bank investigation documentation,Banking and Monetary Policy
Home Bank failure and banking regulation,Banking and Monetary Policy
transfer of government documents,Government and Parliamentary Affairs
rural mail delivery costs,Transportation and Communications
investigation into missing government documents,Government and Parliamentary Affairs
centralization of bank lending authority,Banking and Monetary Policy
compensation for Home Bank depositors,Banking and Monetary Policy
Home Bank of Canada failure and depositors,Banking and Monetary Policy
Home Bank of Canada failure,Banking and Monetary Policy
investigation into Farmers' Bank failure,Banking and Monetary Policy
Home Bank liquidation and Sir Thomas White,Banking and Monetary Policy
ownership of ministerial departmental documents,Government and Parliamentary Affairs
judicial inquiry into bank failure,Banking and Monetary Policy
custody of departmental correspondence,Government and Parliamentary Affairs
Home Bank depositors' compensation claims,Banking and Monetary Policy
Home Bank failure inquiry,Banking and Monetary Policy
Farmers' Bank investigation commission,Banking and Monetary Policy
Home Bank failure and Bank Act reform,Banking and Monetary Policy
custody of ministerial correspondence and public documents,Government and Parliamentary Affairs
bank deposit security and inspection methods,Banking and Monetary Policy
statutory authority for pulpwood export prohibition,International Trade and Tariffs
Yukon judicial salary adjustments,"Justice, Constitution, and Indigenous Affairs"
detention of prisoners pending appeal,"Justice, Constitution, and Indigenous Affairs"
legal powers of penitentiary wardens,"Justice, Constitution, and Indigenous Affairs"
Yukon judge salary and pension regulation,"Justice, Constitution, and Indigenous Affairs"
Home Bank failure royal commission investigation,Banking and Monetary Policy
funding for federal agricultural experimental farms,Agriculture and Food Policy
reorganisation of dominion experimental farms,Agriculture and Food Policy
Yukon judge salary adjustment,"Justice, Constitution, and Indigenous Affairs"
correction of Home Bank deputation attendees,Government and Parliamentary Affairs
St. Lawrence waterway development costs,Transportation and Communications
income tax exemption amendments,Public Finance and Taxation
importation of American agricultural implements,International Trade and Tariffs
employment of house of commons stenographers,Government and Parliamentary Affairs
proposed income tax act amendments,Public Finance and Taxation
income tax exemptions and earned income differentiation,Public Finance and Taxation
immigration of children from Great Britain,"Justice, Constitution, and Indigenous Affairs"
juvenile immigration from Great Britain,"Justice, Constitution, and Indigenous Affairs"
immigration of British reformatory children,"Justice, Constitution, and Indigenous Affairs"
proposed income tax exemptions for families,Public Finance and Taxation
standardization of Prince Edward Island railways,Transportation and Communications
co-operative marketing of eggs,Agriculture and Food Policy
hog grading standards and inspection personnel,Agriculture and Food Policy
immigration of British children,"Justice, Constitution, and Indigenous Affairs"
Quebec immigration office restaurant contract,Government and Parliamentary Affairs
Prince Edward Island railway extensions,Transportation and Communications
investigation of political partisanship in the civil service,Government and Parliamentary Affairs
government inspection and grading of hogs,Agriculture and Food Policy
immigration of British children to Canada,"Justice, Constitution, and Indigenous Affairs"
exploitation of child immigrants from Great Britain,"Justice, Constitution, and Indigenous Affairs"
Canadian National Railways land sales,Transportation and Communications
Canadian National Railways annual fixed charges,Transportation and Communications
constitutionality of the Industrial Disputes Investigation Act,Social Welfare and Labour
inspection of juvenile immigrants from Great Britain,"Justice, Constitution, and Indigenous Affairs"
agricultural production and protective tariffs,International Trade and Tariffs
proportional representation and transferable voting systems,Government and Parliamentary Affairs
transferable vote in multimember constituencies,Government and Parliamentary Affairs
Vancouver Island railway freight rates,Transportation and Communications
proportional representation legislation,Government and Parliamentary Affairs
proportional representation in multi-membered constituencies,Government and Parliamentary Affairs
Canadian Northern Railway freight routing agreements,Transportation and Communications
Canadian militia staffing and salaries,Veterans' and Military Affairs
Vancouver Harbour Commission property acquisition,Transportation and Communications
ratification of the treaty of Lausanne,"Justice, Constitution, and Indigenous Affairs"
Canadian National Railways radio equipment procurement,Transportation and Communications
tenure and salaries of militia staff officers,Veterans' and Military Affairs
transferable vote in multimembered constituencies,Government and Parliamentary Affairs
proportional representation and transferable vote systems,Government and Parliamentary Affairs
Canadian National Railways freight routing obligations,Transportation and Communications
Church Union bill opposition,"Justice, Constitution, and Indigenous Affairs"
qualifications and expenses of the Auditor General,Government and Parliamentary Affairs
Camp Borden fire and military personnel pay,Veterans' and Military Affairs
Bridgetown postmaster appointment,Government and Parliamentary Affairs
proportional representation in large cities,Government and Parliamentary Affairs
proportional representation in Vancouver municipal elections,Government and Parliamentary Affairs
National Transcontinental Railway construction and operating costs,Transportation and Communications
ratification of the Treaty of Lausanne,"Justice, Constitution, and Indigenous Affairs"
appeals process for criminal convictions,"Justice, Constitution, and Indigenous Affairs"
inaccurate parliamentary response regarding coal procurement,Government and Parliamentary Affairs
Vancouver Harbour Commission grain elevator acquisition,Transportation and Communications
Camp Borden fires and Air Force personnel status,Veterans' and Military Affairs
import and export of agricultural implements,International Trade and Tariffs
customs valuation and tariff reform,International Trade and Tariffs
patent law and boot and shoe industry financing,Public Finance and Taxation
Department of Soldiers' Civil Re-establishment Montreal staff salaries,Veterans' and Military Affairs
gold export and import statistics,Banking and Monetary Policy
medical personnel of pension and appeal boards,Veterans' and Military Affairs
Canadian National Railways rolling stock procurement,Transportation and Communications
Canadian National Railway asset disposal policy,Transportation and Communications
Canadian National railway line extension project,Transportation and Communications
customs department order for return,International Trade and Tariffs
Canadian National Railway management authority,Transportation and Communications
Canadian National Railway branch line duplication,Transportation and Communications
disposition of government-owned property,Government and Parliamentary Affairs
Canadian National Railways debt accounting,Transportation and Communications
railway line construction between Grande Fresniere and Rinfret,Transportation and Communications
Civil Service Commission building rental costs,Government and Parliamentary Affairs
disposal of Canadian National Railway branch lines,Transportation and Communications
Civil Service Commission office rental costs,Government and Parliamentary Affairs
mandatory printer identification on published materials,Government and Parliamentary Affairs
construction of Canadian National railway branch lines,Transportation and Communications
Canada-United States trade reciprocity and tariff policy,International Trade and Tariffs
construction of Grande Fresnière branch line,Transportation and Communications
construction of the Grande Fresnière-Rinfret railway line,Transportation and Communications
tariff protection for Canadian industries,International Trade and Tariffs
Sunnybrae to Guysborough railway construction,Transportation and Communications
railway line grade and traffic logistics,Transportation and Communications
Canadian National Railways branch line completion,Transportation and Communications
Sunnybrae to Guysboro railway line construction,Transportation and Communications
Grande Fresniere-Rinfret railway line construction,Transportation and Communications
Sunnybrae to Country Harbour railway construction,Transportation and Communications
construction of Sunnybrae-Guysborough railway line,Transportation and Communications
Sunnybrae-Guysborough railway construction project,Transportation and Communications
construction of the Sunnybrae-Guysboro railway line,Transportation and Communications
construction of the Sunnybrae-Guysborough railway branch line,Transportation and Communications
British Columbia fruit industry co-operative marketing,Agriculture and Food Policy
funding for the Sunnybrae-Guysboro railway line,Transportation and Communications
Sunnybrae-Guysborough railway line construction,Transportation and Communications
construction of the Sunnybrae-Guysborough railway line,Transportation and Communications
Sunnybrae-Guysborough railway construction,Transportation and Communications
public ownership of the Canadian National Railway,Transportation and Communications
proposed railway line parallel configuration,Transportation and Communications
unlimited railway construction expenditure,Transportation and Communications
oversight of Canadian National Railway branch lines,Transportation and Communications
railway branch line construction in Nova Scotia,Transportation and Communications
capital expenditure for branch railway lines,Transportation and Communications
Canadian National Railway financing and appropriations,Transportation and Communications
proposed Sunnybrae-Guysboro railway line construction,Transportation and Communications
Sunnybrae-Guysborough railway construction authorization,Transportation and Communications
proposed Sunnybrae to Guysborough railway construction,Transportation and Communications
agricultural instruction act funding,Agriculture and Food Policy
construction of a Canadian National Railways branch line,Transportation and Communications
St. John and Quebec railway operations,Transportation and Communications
Canadian National Railways operating statistics,Transportation and Communications
crude oil bounty payments,Natural Resources and Intergovernmental Relations
St. John and Quebec Railway branch lines,Transportation and Communications
proposed Canadian National Railway branch line construction,Transportation and Communications
Canadian National Railways traffic routing and rates,Transportation and Communications
Canadian National Railways branch line construction expenditure,Transportation and Communications
construction of the Toronto viaduct,Transportation and Communications
Saskatchewan railway bridge construction,Transportation and Communications
Jasper Park Lodge management and expenditures,Transportation and Communications
parliamentary scheduling and debate adjournment,Government and Parliamentary Affairs
construction of the Dunblane-Mawer railway branch line,Transportation and Communications
United States immigration legislation discrimination against naturalized Canadians,"Justice, Constitution, and Indigenous Affairs"
construction of railway branch lines in Saskatchewan,Transportation and Communications
parliamentary committee rules and procedures,Government and Parliamentary Affairs
rural credits commission report,Agriculture and Food Policy
postal employees salary revisions and bonuses,Transportation and Communications
Canadian National railway branch line construction,Transportation and Communications
Canadian National Railways grain traffic statistics,Transportation and Communications
Canadian National railway line construction,Transportation and Communications
Radville-Fife Lake branch line construction,Transportation and Communications
proposed railway line construction,Transportation and Communications
proposed Canadian National Railways branch lines construction,Transportation and Communications
procedural rules for C.N.R. branch line construction,Transportation and Communications
parliamentary committee hearing procedures,Government and Parliamentary Affairs
government expenditures on ministerial automobiles,Public Finance and Taxation
federal revenues and exhibition grants in Toronto,Public Finance and Taxation
railway branch line construction bills,Transportation and Communications
construction of the Eyre to Acadia Valley branch line,Transportation and Communications
construction of Radville-Fife Lake branch line,Transportation and Communications
Radville-Fife Lake branch railway line construction,Transportation and Communications
Prince Albert branch railway construction,Transportation and Communications
construction of the Radville-Fife Lake railway line,Transportation and Communications
aerial forest fire suppression and pest control,Natural Resources and Intergovernmental Relations
forest conservation and management,Natural Resources and Intergovernmental Relations
Radville-Fife Lake branch line railway construction,Transportation and Communications
forest fire prevention and research,Natural Resources and Intergovernmental Relations
federal timber lease regulations,Natural Resources and Intergovernmental Relations
conservation of canadian forest resources,Natural Resources and Intergovernmental Relations
forest conservation and fire protection policy,Natural Resources and Intergovernmental Relations
forest fire prevention and conservation policies,Natural Resources and Intergovernmental Relations
Board of Examiners for Dominion land surveyors,Natural Resources and Intergovernmental Relations
construction of the parliament buildings,Government and Parliamentary Affairs
forest conservation and fire protection strategies,Natural Resources and Intergovernmental Relations
uniform provincial logging regulations,Natural Resources and Intergovernmental Relations
forest fire prevention and suppression,Natural Resources and Intergovernmental Relations
procurement of military aircraft,Veterans' and Military Affairs
western Canada irrigation and reclamation projects,Natural Resources and Intergovernmental Relations
"water power, irrigation, and reclamation appropriations",Natural Resources and Intergovernmental Relations
modernization of Canadian air force equipment,Veterans' and Military Affairs
hydroelectric power development on the Saint John River,Natural Resources and Intergovernmental Relations
river flow measurement and water power assessment,Natural Resources and Intergovernmental Relations
land reclamation and drainage projects,Natural Resources and Intergovernmental Relations
amalgamation of water power and reclamation services,Natural Resources and Intergovernmental Relations
preservation of national parks,Natural Resources and Intergovernmental Relations
Grand Falls waterpower development,Natural Resources and Intergovernmental Relations
federal irrigation and land reclamation projects,Natural Resources and Intergovernmental Relations
forest fire prevention and negligence legislation,Natural Resources and Intergovernmental Relations
sale of Crown lands for drainage projects,Natural Resources and Intergovernmental Relations
land reclamation and soil investigation surveys,Natural Resources and Intergovernmental Relations
postponement of legislative action,Government and Parliamentary Affairs
Spray Lakes hydroelectric power development proposal,Natural Resources and Intergovernmental Relations
federal expenditures on river improvement projects,Natural Resources and Intergovernmental Relations
reclamation of agricultural land,Natural Resources and Intergovernmental Relations
British Columbia stream water measurement data,Natural Resources and Intergovernmental Relations
western Canada agricultural land drainage projects,Natural Resources and Intergovernmental Relations
St. John river hydroelectric development,Natural Resources and Intergovernmental Relations
Grand Falls hydroelectric power development,Natural Resources and Intergovernmental Relations
federal irrigation and water-power resource investigation,Natural Resources and Intergovernmental Relations
hydroelectric power development in New Brunswick,Natural Resources and Intergovernmental Relations
federal hydrometric stream measurement programs,Natural Resources and Intergovernmental Relations
retention of capital punishment,"Justice, Constitution, and Indigenous Affairs"
federal funding for British Columbia water-powers,Natural Resources and Intergovernmental Relations
co-operative stream measurement and water power investigations,Natural Resources and Intergovernmental Relations
Calgary Power Company hydro development in Banff,Natural Resources and Intergovernmental Relations
federal-provincial river improvement work,Natural Resources and Intergovernmental Relations
St. Lawrence waterway engineering investigations,Transportation and Communications
divorce legislation reform,"Justice, Constitution, and Indigenous Affairs"
hydroelectric power resource surveying,Natural Resources and Intergovernmental Relations
agricultural land valuation and ranching leases,Agriculture and Food Policy
preservation of national parks from commercial interests,Natural Resources and Intergovernmental Relations
land drainage and water-power investigation expenditures,Natural Resources and Intergovernmental Relations
reform of the penal system,"Justice, Constitution, and Indigenous Affairs"
water power development in national parks,Natural Resources and Intergovernmental Relations
United Church of Canada incorporation bill,"Justice, Constitution, and Indigenous Affairs"
government expenditure disclosure,Public Finance and Taxation
federal government expenditure on irrigation and surveys,Natural Resources and Intergovernmental Relations
incorporation of the United Church of Canada,"Justice, Constitution, and Indigenous Affairs"
retention of the death penalty,"Justice, Constitution, and Indigenous Affairs"
capital punishment,"Justice, Constitution, and Indigenous Affairs"
abolition of the death penalty,"Justice, Constitution, and Indigenous Affairs"
capital punishment deterrence,"Justice, Constitution, and Indigenous Affairs"
