topic,category,error
Devco coal mines and provincial government responsibility,Agriculture & Natural Resources,
Devco coal production and costs,Agriculture & Natural Resources,
Devco colliery fire and unemployment,Social Policy,
Devco employment plans in Cape Breton,Government Operations & Ethics,
Devco financing and steel mill competence,Trade & Industry,
Devco funding for employment,Economic & Fiscal Policy,
Devco industrial development,Government Operations & Ethics,
Devco industrial development in Cape Breton,Trade & Industry,
Devco layoffs and pre-retirement leave plan,Social Policy,
Devco liaison and information flow,Government Operations & Ethics,
Devco loan guarantees for Cape Breton miners,Government Operations & Ethics,
Devco management and performance assessment,Government Operations & Ethics,
Devco objectives and plan presentation,Government Operations & Ethics,
Devco operation unionized employees,Trade & Industry,
Devco pension legislation,Social Policy,
Devco pensions for former employees,Social Policy,
Devco performance and public enterprises,Government Operations & Ethics,
Devco pre-retirement leave plan and unemployment insurance,Social Policy,
Devco preretirement plan arrangements,Social Policy,
Devco privatization and government ownership,Government Operations & Ethics,
Devco program and Atlantic Canada difficulties,Economic & Fiscal Policy,
Devco report and Westray mine safety concerns,Agriculture & Natural Resources,
Devco spending and Prime Minister's knowledge,Government Operations & Ethics,
Devco subsidies and federal loan guarantees,Economic & Fiscal Policy,
Devco superannuation allowance for pensioners,Social Policy,
Devco vote 31a and employment,Social Policy,
Devco's effectiveness in maritimes industry,Government Operations & Ethics,
Devco's failure in Cape Breton,Government Operations & Ethics,
Devco's position in Cape Breton area,Trade & Industry,
Devco's role in Cape Breton tourism,Trade & Industry,
Devco's use of unemployment insurance for early retirement,Social Policy,
Devco's violation of unemployment insurance and Canada Pension Plan rules,Social Policy,
"Devco, Cape Breton Development Corporation",Government Operations & Ethics,
Diefenbaker Centre funding,Government Operations & Ethics,
Diefenbaker and the five-province rule,Intergovernmental & Constitutional Affairs,
Diefenbaker tradition and VIA Rail,Government Operations & Ethics,
Diefenbaker's will and estate,Government Operations & Ethics,
Diemaco and Saudi Arabian arms deal,Foreign Affairs & Defence,
Dieppe prisoners of war compensation,Social Policy,
Dieppe raid anniversary commemoration,Foreign Affairs & Defence,
Dieppe veterans pensions,Social Policy,
Digby-Saint John ferry discussions,Trade & Industry,
Digby-Saint John ferry service,Trade & Industry,
Director of Investigation and Research merger review,Trade & Industry,
Director of Soldier Settlement financial interest,Government Operations & Ethics,
Director of service terms and conditions of employment,Government Operations & Ethics,
Disabled Persons Act benefit levels,Social Policy,
Disaster Assistance Program for drought area farmers,Agriculture & Natural Resources,
Discover Together Program school package,Social Policy,
Distribution Assistance Program allocations,Government Operations & Ethics,
Divorce Act third reading,Social Policy,
Dixon Entrance boundary dispute and navigational aid,Intergovernmental & Constitutional Affairs,
Dixon Entrance transits and diplomatic protest,Foreign Affairs & Defence,
Diyden accident air safety funds,Government Operations & Ethics,
Diyden crash aviation safety report,Parliamentary Affairs,
Dofasco and Stelco layoffs,Trade & Industry,
Dofasco wages and excess profits tax,Economic & Fiscal Policy,
Dolbeau airport development,Trade & Industry,
Dome Petroleum Beaufort Sea contract,Agriculture & Natural Resources,
Dome Petroleum Canadian ownership formula,Agriculture & Natural Resources,
Dome Petroleum LNG project funding,Agriculture & Natural Resources,
Dome Petroleum acquisition and Canadianization,Trade & Industry,
Dome Petroleum and Suncor concessions,Agriculture & Natural Resources,
Dome Petroleum and Syncrude tax remissions,Economic & Fiscal Policy,
Dome Petroleum and energy policy,Agriculture & Natural Resources,
Dome Petroleum assistance and bank bailouts,Economic & Fiscal Policy,
Dome Petroleum bailout fund,Economic & Fiscal Policy,
Dome Petroleum bankruptcy and western Canada,Trade & Industry,
Dome Petroleum bid consideration,Trade & Industry,
Dome Petroleum expertise in Beaufort Sea,Trade & Industry,
Dome Petroleum exploration investments,Economic & Fiscal Policy,
Dome Petroleum financial difficulties,Economic & Fiscal Policy,
Dome Petroleum foreign takeover,Trade & Industry,
Dome Petroleum funding for Arctic drilling,Agriculture & Natural Resources,
Dome Petroleum investment and Canadianization,Trade & Industry,
Dome Petroleum policy and National Energy Program,Agriculture & Natural Resources,
Dome Petroleum reserves and American control,Trade & Industry,
Dome Petroleum sale to shareholders and creditors,Trade & Industry,
Dome Petroleum survival,Economic & Fiscal Policy,
Dome Petroleum tax remission vs sales tax revenue,Economic & Fiscal Policy,
Dome Petroleum tax ruling,Economic & Fiscal Policy,
Dome Petroleum taxation and equity options,Economic & Fiscal Policy,
Dome Petroleum's impact on western Canadian economy,Economic & Fiscal Policy,
Dome acquisition and Canadian energy security,Agriculture & Natural Resources,
Dome acquisition and Canadianization policy,Trade & Industry,
Dome debt negotiations,Economic & Fiscal Policy,
Dome-Amoco agreement and Companies' Creditors Arrangement Act,Economic & Fiscal Policy,
Dome-Amoco deal and free enterprise,Trade & Industry,
Dome-Amoco merger and Canadianization,Trade & Industry,
Dome-Canmar drilling program approval,Agriculture & Natural Resources,
Dome-Canmar operations at Nerlerk M-98,Agriculture & Natural Resources,
Dome-Canmar production testing,Agriculture & Natural Resources,
Dominican Republic mission staff,Foreign Affairs & Defence,
Dominion Atlantic Railway dayliner service,Government Operations & Ethics,
Dominion Aviation STOL aircraft grant application,Trade & Industry,
Dominion Bureau of Statistics employment,Government Operations & Ethics,
Dominion Bureau of Statistics investigators,Government Operations & Ethics,
Dominion Bureau of Statistics publications and staff,Government Operations & Ethics,
Dominion Coal Board revenue and subsidies,Economic & Fiscal Policy,
Dominion Coal Board subventions,Agriculture & Natural Resources,
Dominion Coal Company takeover,Trade & Industry,
Dominion Day bill procedure,Parliamentary Affairs,
Dominion Day funds for unemployed,Social Policy,
Dominion Day holiday legislation,Parliamentary Affairs,
Dominion Day holiday tradition,Parliamentary Affairs,
Dominion Day name change,Government Operations & Ethics,
Dominion Day to Canada Day name change,Intergovernmental & Constitutional Affairs,
Dominion Day vs Canada Day debate,Intergovernmental & Constitutional Affairs,
Dominion Textile plant closures and government grants,Trade & Industry,
Dominion Water Power Act and proposed bill precedence,Agriculture & Natural Resources,
Dominion bonds income tax exemption,Economic & Fiscal Policy,
Dominion cancellation appeal to cabinet,Government Operations & Ethics,
Dominion coal blocks in Kootenay East-Revelstoke,Agriculture & Natural Resources,
Dominion coal lands and agricultural policy,Agriculture & Natural Resources,
Dominion coal lands and western grain transportation,Agriculture & Natural Resources,
Dominion of Canada perpetual bonds exchange,Economic & Fiscal Policy,
Dominion of Canada perpetual bonds interest rate,Economic & Fiscal Policy,
Dominion-Provincial Relations and rights of French Canadians,Intergovernmental & Constitutional Affairs,
Dominion-Provincial Relations interim payment method,Intergovernmental & Constitutional Affairs,
Domtar Corporation investment project,Trade & Industry,
Domtar Corporation shareholding and salvage options,Trade & Industry,
Domtar application rejection reasons,Trade & Industry,
Domtar assistance and government shareholding,Government Operations & Ethics,
Domtar assistance and public debt,Economic & Fiscal Policy,
Domtar case and Quebec representation,Trade & Industry,
Domtar case and government response,Trade & Industry,
Domtar case subsidy and intergovernmental talks,Intergovernmental & Constitutional Affairs,
Domtar company funding and government deficit,Economic & Fiscal Policy,
Domtar fine coated paper plant closure,Trade & Industry,
Domtar lumber price increase,Trade & Industry,
Domtar plant closure and employee layoffs,Trade & Industry,
Domtar project and regional industrial expansion program,Trade & Industry,
Domtar situation and government decision,Government Operations & Ethics,
Domtar subsidies and government policy,Economic & Fiscal Policy,
Domtar subsidies and provincial discrimination,Government Operations & Ethics,
Don Getty's election as Alberta Premier,Intergovernmental & Constitutional Affairs,
Don Valley pollution and land use,Agriculture & Natural Resources,
Donald Cameron's premiership in Nova Scotia,Intergovernmental & Constitutional Affairs,
"Donald Marshall case, question of privilege",Parliamentary Affairs,
Donald Swan and David Bath S.I.U. membership,Trade & Industry,
Donald and Company Limited chemical and research consultants,Trade & Industry,
Donald report progress,Government Operations & Ethics,
Donkin mine start-up date,Agriculture & Natural Resources,
Donmount urban renewal area compensation,Social Policy,
Donny Lalonde's championship and advocacy,Social Policy,
Dorion inquiry terms of reference,"Justice, Rights & Immigration",
Dorion inquiry urgency,"Justice, Rights & Immigration",
Dorion report and violation of confidence,Government Operations & Ethics,
Dorion report on National Capital Commission lands,Government Operations & Ethics,
Dorval air terminal investments,Trade & Industry,
Dorval airport capacity and expansion,Trade & Industry,
Dorval airport capacity for World Fair,Trade & Industry,
Dorval airport expansion,Trade & Industry,
Dorval airport lease extension policy,Government Operations & Ethics,
Dorval airport services and Anglophone workers,Trade & Industry,
Dorval airport user fees and losses,Trade & Industry,
Dorval and Mirabel airport operations,Trade & Industry,
Dosco Mines agreement in Nova Scotia,Trade & Industry,
Dosco acquisition and corporation personnel,Trade & Industry,
Dosco layoffs and government inaction,Social Policy,
Dosco miners' old age security,Social Policy,
Dosco operations and Hawker Siddeley conduct,Trade & Industry,
Dosco plant closure discussions,Trade & Industry,
Dosco steel mill closure,Trade & Industry,
Dosco's financial disclosure to consultants,Government Operations & Ethics,
Douglas Aircraft layoffs,Trade & Industry,
Douglas Aircraft plant jobs and aerospace policy,Trade & Industry,
Douglas fir tussock moth control in British Columbia,Agriculture & Natural Resources,
Dow Corning breast implant litigation,Social Policy,
Downsview Military Depot closure and economic impact,Economic & Fiscal Policy,
Dr. Brooks and Mr. Berger pipeline mandate,Agriculture & Natural Resources,
Dr. Cox typhoid report publication,Social Policy,
Dr. Cox's role in typhoid outbreak,Social Policy,
Dr. Michael Rachlis' health recommendations,Social Policy,
Dr. Morgentaler abortion case confusion,"Justice, Rights & Immigration",
Dr. Morgentaler and abortion access,"Justice, Rights & Immigration",
Dr. Noel Hall report completion,Government Operations & Ethics,
Dr. Noel Hall's report on railway pensions,Social Policy,
Dr. Paul Anthony Johnstone's contributions,Government Operations & Ethics,
Dr. Perry's report on grain handlers' strike,Trade & Industry,
Dr. Polanyi's position on research funding,Economic & Fiscal Policy,
Dr. Verne Atrill employment and salary,Government Operations & Ethics,
Dredging cost sharing policy,Agriculture & Natural Resources,
Driedger legal opinion on marriage and divorce,"Justice, Rights & Immigration",
Drug Patent Act amendments,Trade & Industry,
Drumheller Trailer Unit personnel details,Government Operations & Ethics,
Drummondville cultural centre services,Trade & Industry,
Dryden air crash inquiry report,Trade & Industry,
Dryden air disaster questions,Government Operations & Ethics,
Dubin inquiry and anti-doping efforts,"Justice, Rights & Immigration",
Dubin inquiry on drugs in athletics,"Justice, Rights & Immigration",
Dubin report and sport ethics,Social Policy,
Dubin report implementation and aviation safety,Government Operations & Ethics,
Dukes Point development and log booms,Trade & Industry,
Duncan dam bonus for British Columbia,Intergovernmental & Constitutional Affairs,
Duncan dam payment to British Columbia,Intergovernmental & Constitutional Affairs,
Duncan lake dam payment dispute,Intergovernmental & Constitutional Affairs,
Dunkel proposal impact study,Trade & Industry,
Dunnville Dam and Weir Rehabilitation Project land claims,Indigenous & Northern Affairs,
Durum wheat final payment reasons,Agriculture & Natural Resources,
Durum wheat floor price and two-price system,Agriculture & Natural Resources,
Durum wheat stocks and exports,Agriculture & Natural Resources,
E-12 guidelines and immigration access,"Justice, Rights & Immigration",
EARP process and government effort,Parliamentary Affairs,
ECN-NDA Merger Study project criteria,Foreign Affairs & Defence,
EDC accountability and government control,Government Operations & Ethics,
EDC and CIDA environmental assessment exemption,Foreign Affairs & Defence,
EDC assistance for state to state loans,Foreign Affairs & Defence,
EDC assistance to total trade,Trade & Industry,
EDC board of directors private sector representation,Government Operations & Ethics,
EDC borrowing and government guarantee,Economic & Fiscal Policy,
EDC confidentiality in business transactions,Trade & Industry,
EDC credit risks during recession,Trade & Industry,
EDC criticism of members of Parliament,Government Operations & Ethics,
EDC debt responsibility,Trade & Industry,
EDC directors and potential conflicts of interest,Government Operations & Ethics,
EDC export support compared to other countries,Trade & Industry,
EDC financing agreements and lending ceiling,Trade & Industry,
EDC financing for Canadian businessmen,Trade & Industry,
EDC financing for export marketplace,Trade & Industry,
EDC financing for foreign companies,Trade & Industry,
EDC financing for foreign industrial projects,Trade & Industry,
EDC financing of foreign industry,Trade & Industry,
EDC financing of foreign pulp and paper production,Trade & Industry,
EDC flexibility and streamlined services,Trade & Industry,
EDC foreign investment insurance criteria,Trade & Industry,
EDC insurance authorization limits,Trade & Industry,
EDC insurance for Romanian deal,Foreign Affairs & Defence,
EDC insurance for sale to Chile,Trade & Industry,
EDC investments in developing countries,Trade & Industry,
EDC lending and publication of transaction details,Trade & Industry,
EDC lending rates and terms,Trade & Industry,
EDC loan guarantees and deficits,Economic & Fiscal Policy,
EDC loan transactions and financing,Trade & Industry,
EDC long-term financing for Canadian exports,Trade & Industry,
EDC operations and parliamentary control,Government Operations & Ethics,
EDC support for Canadian gross national product,Trade & Industry,
EDC support for Canadian sugar complex in Ivory Coast,Trade & Industry,
EEC and US wheat subsidies impacting Canadian exports,Trade & Industry,
EEC ban on seal pelts affecting Magdalen Islands,Trade & Industry,
EEC cod export dispute,Trade & Industry,
EEC fish quota allocation to France,Agriculture & Natural Resources,
EEC market opportunity,Trade & Industry,
EEC relations and West German meetings,Foreign Affairs & Defence,
EEC seed legislation and corporate control,Agriculture & Natural Resources,
EEC tariffs on Canadian groundfish,Trade & Industry,
EEZ surveillance and search and rescue,Foreign Affairs & Defence,
EFTS and Post Office vulnerability,Economic & Fiscal Policy,
EFTS threat to postal volume,Economic & Fiscal Policy,
EH-101 and Paramax lobbyists,Government Operations & Ethics,
EH-101 helicopter program cost,Foreign Affairs & Defence,
EH-101 helicopters vs. Sea Kings,Foreign Affairs & Defence,
EH-101 vs Boeing Labrador helicopter comparison,Foreign Affairs & Defence,
ELA financial support strategy,Agriculture & Natural Resources,
ELT battery retrofit program,Government Operations & Ethics,
ELT lithium battery replacement,Government Operations & Ethics,
ELT system deficiencies and upgrade,Government Operations & Ethics,
ELTs and Department of Transport spending,Government Operations & Ethics,
ELTs electronic locator transmitters,Government Operations & Ethics,
EPA and CP Air joint service in Atlantic Canada,Trade & Industry,
EPA list drawn up by government,Government Operations & Ethics,
EPF funding and GST replacement tax,Economic & Fiscal Policy,
EPF funding projections,Social Policy,
EPF funding reductions in Newfoundland,Intergovernmental & Constitutional Affairs,
EPF payments and post-secondary education transfers,Intergovernmental & Constitutional Affairs,
EPF reduction and government rhetoric,Intergovernmental & Constitutional Affairs,
EPF transfers and GST impact on inflation,Economic & Fiscal Policy,
EPF transfers freeze extension,Intergovernmental & Constitutional Affairs,
EPO concept and New Left radicalization,Government Operations & Ethics,
EPO list evidence and methods,Government Operations & Ethics,
EPO list investigation and compensation,Government Operations & Ethics,
ERDA Agreements and regional economic expansion,Intergovernmental & Constitutional Affairs,
ERDA agreement signing and implementation,Trade & Industry,
ERDA agreement with Quebec,Intergovernmental & Constitutional Affairs,
ERDA agreements and FEDNOR programs in Ontario,Economic & Fiscal Policy,
ERDA agreements and assistance to industry,Trade & Industry,
ERDA agreements and ministerial powers,Government Operations & Ethics,
ERDA agreements for rural and northern development,Intergovernmental & Constitutional Affairs,
ERDA agreements renegotiation,Intergovernmental & Constitutional Affairs,
ERDA agreements with provinces,Intergovernmental & Constitutional Affairs,
ERDA and GDA spending in Newfoundland,Economic & Fiscal Policy,
ERDA arrangements in Newfoundland,Intergovernmental & Constitutional Affairs,
ERDA funding for British Columbia,Intergovernmental & Constitutional Affairs,
ERDA renewal and provincial responsibilities,Intergovernmental & Constitutional Affairs,
Eagle Star Insurance Company,Trade & Industry,
Eamon de Valera's integrity and international roles,Foreign Affairs & Defence,
Earle firm adjusters report on reconstruction,Government Operations & Ethics,
East Coast Energy PIP grants,Agriculture & Natural Resources,
East Coast fishing industry economic doldrums,Agriculture & Natural Resources,
East Coast fishing resource protection,Agriculture & Natural Resources,
East-West communications and western Canada policy,Intergovernmental & Constitutional Affairs,
East-West highway in Montreal,Intergovernmental & Constitutional Affairs,
"EastCan group permits, Labrador shelf",Agriculture & Natural Resources,
Eastern Canadian agriculture and Bill C-155,Agriculture & Natural Resources,
Eastern Montreal Gulf refinery shutdown,Agriculture & Natural Resources,
Eastern Ontario Subsidiary Agreement drain programs,Intergovernmental & Constitutional Affairs,
Eastern Ontario Subsidiary Agreement funding,Intergovernmental & Constitutional Affairs,
Eastern Provincial Airways operating subsidies,Trade & Industry,
Eastern Provincial Airways strike settlement,Trade & Industry,
Eastern Quebec development agreement extension,Economic & Fiscal Policy,
Eastern Savings and Loan Company powers,Trade & Industry,
Eastern Townships Domtar problem resolution,Trade & Industry,
Ecole polytechnique massacre and its consequences,"Justice, Rights & Immigration",
Economic Conference topics and consultative process,Economic & Fiscal Policy,
Economic Council analysis of free trade deal,Trade & Industry,
Economic Council and Science Council funding,Government Operations & Ethics,
Economic Council goals for Canadian economy,Economic & Fiscal Policy,
Economic Council incomes policy appraisal,Economic & Fiscal Policy,
Economic Council of Canada and free trade,Trade & Industry,
Economic Council of Canada annual review,Economic & Fiscal Policy,
Economic Council of Canada budget and staffing,Government Operations & Ethics,
Economic Council of Canada bylaws,Government Operations & Ethics,
Economic Council of Canada chairman,Government Operations & Ethics,
Economic Council of Canada contracts,Government Operations & Ethics,
Economic Council of Canada employment target,Economic & Fiscal Policy,
Economic Council of Canada expenditure,Government Operations & Ethics,
Economic Council of Canada forecasts and budget impact,Economic & Fiscal Policy,
Economic Council of Canada funding,Government Operations & Ethics,
Economic Council of Canada funding and alternatives,Government Operations & Ethics,
Economic Council of Canada funding and private lending,Economic & Fiscal Policy,
Economic Council of Canada growth predictions,Economic & Fiscal Policy,
Economic Council of Canada independence,Government Operations & Ethics,
Economic Council of Canada interim report,Trade & Industry,
Economic Council of Canada monitoring agency,Government Operations & Ethics,
Economic Council of Canada monitoring body,Government Operations & Ethics,
Economic Council of Canada program,Economic & Fiscal Policy,
Economic Council of Canada proposals,Economic & Fiscal Policy,
Economic Council of Canada regulatory process study,Government Operations & Ethics,
Economic Council of Canada report disclaimer,Economic & Fiscal Policy,
Economic Council of Canada report on economic growth,Economic & Fiscal Policy,
Economic Council of Canada report on expansion,Economic & Fiscal Policy,
Economic Council of Canada report on prices,Economic & Fiscal Policy,
Economic Council of Canada reports on competition policy,Trade & Industry,
Economic Council of Canada study,Government Operations & Ethics,
Economic Council predictions on free trade,Trade & Industry,
Economic Council price increase suggestions,Economic & Fiscal Policy,
Economic Council recommendations,Economic & Fiscal Policy,
Economic Council recommendations on agriculture,Agriculture & Natural Resources,
Economic Council recommendations on production,Agriculture & Natural Resources,
Economic Council report assumptions,Economic & Fiscal Policy,
Economic Council report on budget impact,Economic & Fiscal Policy,
Economic Council report on inflation,Economic & Fiscal Policy,
Economic Council reports and recommendations,Economic & Fiscal Policy,
Economic Council review of free trade,Trade & Industry,
Economic Council savings proposals,Economic & Fiscal Policy,
Economic Council study on oil prices,Economic & Fiscal Policy,
Economic Council suggestions,Economic & Fiscal Policy,
Economic Council's capacity for research,Government Operations & Ethics,
Economic Council's recommendations on grain marketing and efficiency,Agriculture & Natural Resources,
Economic Council's role and government's approach,Government Operations & Ethics,
Economic Council's studies on poverty and government policy,Social Policy,
Economic Development Agency for Quebec,Intergovernmental & Constitutional Affairs,
Economic Development Corporation and fish industry,Agriculture & Natural Resources,
Economic Expansion incentive program,Economic & Fiscal Policy,
Economic Regional Development Agreements funding,Economic & Fiscal Policy,
Edmonton International Airport improvements and costs,Government Operations & Ethics,
Edmonton Oilers hockey team excellence,Social Policy,
Edmonton airport economic development and transportation,Trade & Industry,
Edmonton airport expansion for economic development,Trade & Industry,
Edmonton airport improvements funding cut,Trade & Industry,
Edmonton airport structural changes and preclearance,Trade & Industry,
Edmonton capital assistance program re-evaluation,Trade & Industry,
Edmonton exhibition board discussions,Trade & Industry,
Edmonton games and human rights,"Justice, Rights & Immigration",
Edmonton international airport services,Trade & Industry,
Edmonton light rail transit project funding,Trade & Industry,
Edmonton light rapid transit system,Trade & Industry,
Edmonton municipal airport facilities,Government Operations & Ethics,
Edmonton support for ensign,Intergovernmental & Constitutional Affairs,
Edmonton tornado disaster,Social Policy,
Edmonton transportation facility funding,Economic & Fiscal Policy,
Edmonton's championship sports teams,Social Policy,
Edper Investments corporate structure,Trade & Industry,
Edward Blake's views on multiculturalism,Intergovernmental & Constitutional Affairs,
Eel Ground Band food fishing allocation dispute,Indigenous & Northern Affairs,
Egg Marketing Board and inflation,Economic & Fiscal Policy,
Egyptian citizens' entry to Canada,"Justice, Rights & Immigration",
Eisenhower on Viet Nam armistice negotiations,Foreign Affairs & Defence,
El Salvador and Central America situation,Foreign Affairs & Defence,
El Salvador arms flow and political solutions,Foreign Affairs & Defence,
El Salvador arms supplies and political settlement,Foreign Affairs & Defence,
El Salvador assembly reports,Foreign Affairs & Defence,
El Salvador conflict and Canadian leadership,Foreign Affairs & Defence,
El Salvador death squads and amnesty law,"Justice, Rights & Immigration",
El Salvador election negotiations,Foreign Affairs & Defence,
El Salvador election observations,Foreign Affairs & Defence,
El Salvador election policy,Foreign Affairs & Defence,
El Salvador election support,Foreign Affairs & Defence,
El Salvador election turnout and courage,Foreign Affairs & Defence,
El Salvador elections and Canadian position,Foreign Affairs & Defence,
El Salvador elections and conditions,Foreign Affairs & Defence,
El Salvador elections and pre-electoral period,Foreign Affairs & Defence,
El Salvador fighting and Canadian policy,Foreign Affairs & Defence,
El Salvador foreign intervention,Foreign Affairs & Defence,
El Salvador investigation and ambassador testimony,Foreign Affairs & Defence,
El Salvador negotiated settlement,Foreign Affairs & Defence,
El Salvador negotiations and electoral process,Foreign Affairs & Defence,
El Salvador policy and embassy,Foreign Affairs & Defence,
El Salvador refugees and east-west conflict,Foreign Affairs & Defence,
El Salvador situation and motion critique,Foreign Affairs & Defence,
El Salvador: military aid and political resolution,Foreign Affairs & Defence,
El Salvadoran amnesty law and aid,"Justice, Rights & Immigration",
El Salvadoran human rights violations,Foreign Affairs & Defence,
El Salvadoran refugee camps and elections,"Justice, Rights & Immigration",
Eldorado Aviation incorporation and share structure,Government Operations & Ethics,
Eldorado Mining and Refining Limited profits,Trade & Industry,
Eldorado Nuclear Limited and Saskatchewan,Agriculture & Natural Resources,
Eldorado Nuclear Limited dump site risks,Agriculture & Natural Resources,
Eldorado Nuclear Limited financial information,Government Operations & Ethics,
Eldorado Nuclear Limited hazardous waste,Agriculture & Natural Resources,
Eldorado Nuclear Limited marketing uranium,Trade & Industry,
Eldorado Nuclear Limited mineral exploration,Agriculture & Natural Resources,
Eldorado Nuclear Limited's community relations,Government Operations & Ethics,
Eldorado Nuclear Limited's impact on Uranium City,Government Operations & Ethics,
Eldorado Nuclear and Air Canada ideology,Government Operations & Ethics,
Eldorado Nuclear and Theratronics ownership,Government Operations & Ethics,
Eldorado Nuclear electricity service for Uranium City,Agriculture & Natural Resources,
Eldorado Nuclear employment of Europeans vs Canadians,Trade & Industry,
Eldorado Nuclear refinery construction,Trade & Industry,
Eldorado Nuclear refinery in Sudbury,Agriculture & Natural Resources,
Eldorado Nuclear waste disposal at Port Granby,Agriculture & Natural Resources,
Eldorado Resources and uranium processing policy,Trade & Industry,
Eldorado mines move and northern Ontario employment,Trade & Industry,
Eldorado privatization legislation and process,Government Operations & Ethics,
Eldorado uranium mine and Spain sale,Trade & Industry,
Eldorado-Saskatchewan government discussions,Trade & Industry,
Eleanor Milne's BNA series panels,Parliamentary Affairs,
Election Expenses Act and convention expenses,Economic & Fiscal Policy,
Election Expenses Act and democratic participation,Parliamentary Affairs,
Elections Act and committee work,Parliamentary Affairs,
Elections Act and national referendums,Parliamentary Affairs,
Elections Act rural component,Parliamentary Affairs,
Elections Act voting age and official agent duties,Parliamentary Affairs,
Elections Canada investigation of Marcel Masse,Government Operations & Ethics,
Elections Commissioner powers and duties,Government Operations & Ethics,
Electoral Act and language of legislation,Parliamentary Affairs,
Electoral Boundaries Commission appointments,Parliamentary Affairs,
Electoral Boundaries Commission composition,Parliamentary Affairs,
Electoral Boundaries Commission government measure,Parliamentary Affairs,
Electoral Boundaries Commission preliminary report,Parliamentary Affairs,
Electoral Boundaries Commission report compliance,Parliamentary Affairs,
Electoral Boundaries Commission report filing,Parliamentary Affairs,
Electoral Boundaries Commission salaries and expenses,Parliamentary Affairs,
Electoral Boundaries Commission submissions,Parliamentary Affairs,
Electoral Boundaries Commissions and dual ridings,Parliamentary Affairs,
Electoral Boundaries Commissions and provincial control,Parliamentary Affairs,
Electoral Boundaries Commissions appointments,Parliamentary Affairs,
Electoral Boundaries Commissions consultation,Parliamentary Affairs,
Electoral Boundaries Commissions for Atlantic provinces,Parliamentary Affairs,
Electoral Boundaries Commissions sitting requirements,Parliamentary Affairs,
Electoral Boundaries Readjustment Act,Parliamentary Affairs,
Electoral Boundaries Readjustment Commission Quebec,Parliamentary Affairs,
Electoral Boundaries Readjustment Suspension,Parliamentary Affairs,
Electoral boundaries readjustment act name change,Parliamentary Affairs,
"Elgin, Ontario departmental lands",Government Operations & Ethics,
Elizabeth Bentley testimony transcripts,Government Operations & Ethics,
Elizabeth LeFort and Acadian culture,Social Policy,
Elk Island national park expenditures,Agriculture & Natural Resources,
Elk Island national park funding and wildlife,Agriculture & Natural Resources,
Elk Island national park publicity,Agriculture & Natural Resources,
Elk Island park buffalo herd size and museum project,Agriculture & Natural Resources,
Ellesmere Island National Park Reserve establishment,Agriculture & Natural Resources,
Elliot Lake economic status and uranium ore stockpiling,Economic & Fiscal Policy,
Elliot Lake health and safety investigation,Social Policy,
Elliot Lake housing development and radiation hazards,Social Policy,
Elliot Lake retraining and unemployment,Social Policy,
Elliot Lake training courses and company intentions,Social Policy,
Elliot Lake uranium mine layoffs,Trade & Industry,
Emergencies Act 1970 vs current legislation,Parliamentary Affairs,
Emergencies Act and arbitrary detentions,"Justice, Rights & Immigration",
Emergencies Act vs War Measures Act,Parliamentary Affairs,
Emergency Gold Mining Assistance Act,Economic & Fiscal Policy,
Emergency Gold Mining Assistance Act amendments,Agriculture & Natural Resources,
Emergency Gold Mining Assistance Act extension,Agriculture & Natural Resources,
Emergency Gold Mining Assistance Act study,Agriculture & Natural Resources,
Emergency Measures Organization administration and funding,Government Operations & Ethics,
Emergency Measures Organization and War Measures legislation,Government Operations & Ethics,
Emergency Measures Organization and disaster relief,Government Operations & Ethics,
Emergency Measures Organization exercises,Government Operations & Ethics,
Emergency Measures Organization funding and costs,Government Operations & Ethics,
Emergency Measures Organization funding and efficiency,Government Operations & Ethics,
Emergency Measures Organization peacetime disaster policy,Government Operations & Ethics,
Emergency Measures Organization policy and purposes,Government Operations & Ethics,
Emergency Measures Organization program,Government Operations & Ethics,
Emergency Measures Organization survey,Government Operations & Ethics,
Emergency Measures Organization warning system,Government Operations & Ethics,
Emergency Preparedness Canada Act,Government Operations & Ethics,
Emergency Preparedness Canada funding and structure,Government Operations & Ethics,
Employment Equity Act amendments,Social Policy,
Employment Equity Act and racism,"Justice, Rights & Immigration",
Employment Equity reports,Social Policy,
Employment Support Act and sawmill industry lay-offs,Social Policy,
Employment Support Act and softwood lumber industry,Trade & Industry,
Employment Support Act surcharge,Economic & Fiscal Policy,
Employment Tax Credit Act farm worker program,Agriculture & Natural Resources,
Employment Tax Credit Act job creation,Economic & Fiscal Policy,
Employment Tax Credit Act program cost,Economic & Fiscal Policy,
Employment and Immigration Act amendments,Social Policy,
Employment and Immigration Canada training programs,Social Policy,
Employment and Immigration Reorganization Act,Social Policy,
Energy Administration Act,Agriculture & Natural Resources,
Energy Board appointments and powers,Government Operations & Ethics,
Energy Board examination of Montreal oil supply,Agriculture & Natural Resources,
Energy Supplies Act provisions,Agriculture & Natural Resources,
Energy Supplies Allocation Board powers and reporting,Agriculture & Natural Resources,
Energy Supplies Allocation Board recommendations,Agriculture & Natural Resources,
Energy Supplies Emergency Act Conservative opposition,Agriculture & Natural Resources,
Energy Supplies Emergency Act and oil pricing,Agriculture & Natural Resources,
Energy Supplies Emergency Act calling of Parliament,Parliamentary Affairs,
Energy Supplies Emergency Act mandatory allocation,Agriculture & Natural Resources,
